Year,Engine HP,Engine Cylinders,Number of Doors,Vehicle Size,highway MPG,city mpg,Popularity,MSRP,Trans_Reg
2011,335,6,2,1,26,19,3916,46135,0
2011,300,6,2,1,28,19,3916,40650,0
2011,300,6,2,1,28,20,3916,36350,0
2011,230,6,2,1,28,18,3916,29450,0
2011,230,6,2,1,28,18,3916,34500,0
2012,230,6,2,1,28,18,3916,31200,0
2012,300,6,2,1,26,17,3916,44100,0
2012,300,6,2,1,28,20,3916,39300,0
2012,230,6,2,1,28,18,3916,36900,0
2013,230,6,2,1,27,18,3916,37200,0
2013,300,6,2,1,28,20,3916,39600,0
2013,230,6,2,1,28,19,3916,31500,0
2013,300,6,2,1,28,19,3916,44400,0
2013,230,6,2,1,28,19,3916,37200,0
2013,230,6,2,1,28,19,3916,31500,0
2013,320,6,2,1,25,18,3916,48250,0
2013,320,6,2,1,28,20,3916,43550,0
1992,172,6,4,2,24,17,3105,2000,0
1992,172,6,4,2,24,17,3105,2000,0
1992,172,6,4,2,20,16,3105,2000,1
1992,172,6,4,2,24,17,3105,2000,0
1992,172,6,4,2,21,16,3105,2000,0
1993,172,6,4,2,24,17,3105,2000,0
1993,172,6,4,2,20,16,3105,2000,1
1993,172,6,4,2,24,17,3105,2000,0
1993,172,6,4,2,24,17,3105,2000,0
1993,172,6,4,2,21,16,3105,2000,0
1994,172,6,4,2,21,16,3105,2000,1
1994,172,6,4,2,22,16,3105,2000,0
1994,172,6,4,2,22,17,3105,2000,0
1994,172,6,4,2,22,16,3105,2000,1
1994,172,6,4,2,21,16,3105,2000,1
2017,160,4,2,1,35,26,819,27495,0
2017,160,4,2,1,35,26,819,24995,0
2017,160,4,2,1,35,26,819,28195,0
1991,130,4,4,1,26,18,617,2000,0
1991,158,6,4,1,25,17,617,2000,0
1992,158,6,4,1,25,17,617,2000,0
1992,130,4,4,1,26,18,617,2000,0
1993,130,4,4,1,26,18,617,2000,0
1993,158,6,4,1,25,17,617,2000,0
2016,240,4,2,1,35,23,3916,32850,1
2016,240,4,2,1,34,23,3916,38650,1
2016,320,6,2,1,31,20,3916,48750,1
2016,240,4,2,1,35,23,3916,34850,1
2016,240,4,2,1,34,22,3916,40650,1
2016,320,6,2,1,31,20,3916,44150,1
2016,240,4,2,1,34,22,3916,32850,0
2016,320,6,2,1,30,20,3916,46150,1
2016,320,6,2,1,30,20,3916,50750,1
2017,335,6,2,1,31,21,3916,46450,1
2017,335,6,2,1,32,21,3916,49050,1
2017,335,6,2,1,32,21,3916,51050,1
2017,335,6,2,1,32,21,3916,44450,1
2017,248,4,2,1,34,23,3916,38950,1
2017,248,4,2,1,35,24,3916,33150,1
2017,248,4,2,1,33,24,3916,35150,1
2017,248,4,2,1,33,23,3916,40950,1
1990,162,5,4,2,20,16,3105,2000,1
1990,162,5,4,2,22,15,3105,2000,0
1990,162,5,4,2,23,15,3105,2000,0
1991,217,5,4,2,22,16,3105,2000,0
1991,217,5,4,2,22,16,3105,2000,0
1991,162,5,4,2,20,16,3105,2000,1
2015,184,4,4,2,36,23,1013,25170,1
2015,184,4,4,2,36,23,1013,23950,1
2015,295,6,4,2,29,18,1013,29370,1
2015,184,4,4,2,36,23,1013,21995,1
2015,184,4,4,2,36,23,1013,26625,1
2015,295,6,4,2,29,18,1013,30825,1
2016,184,4,4,2,36,23,1013,21995,1
2016,184,4,4,2,36,23,1013,27795,1
2016,295,6,4,2,29,18,1013,31785,1
2016,295,6,4,2,29,18,1013,29905,1
2016,184,4,4,2,36,23,1013,22490,1
2016,184,4,4,2,36,23,1013,27570,1
2016,184,4,4,2,36,23,1013,25690,1
2016,184,4,4,2,36,23,1013,24490,1
2017,295,6,4,2,28,18,1013,29905,1
2017,295,6,4,2,28,18,1013,31785,1
2017,184,4,4,2,36,23,1013,26685,1
2017,184,4,4,2,36,23,1013,22490,1
2017,184,4,4,2,36,23,1013,25690,1
2017,295,6,4,2,28,18,1013,30900,1
2017,184,4,4,2,36,23,1013,27795,1
2017,184,4,4,2,36,23,1013,21995,1
2017,184,4,4,2,36,23,1013,24490,1
1996,115,4,2,1,36,26,2009,2000,0
1996,115,4,2,1,36,26,2009,2000,0
1996,140,4,2,1,29,21,2009,2000,0
1997,140,4,2,1,29,21,2009,2000,0
1997,115,4,2,1,35,25,2009,2000,0
1997,115,4,2,1,35,25,2009,2000,0
1998,115,4,2,1,35,25,2009,2000,0
1998,115,4,2,1,35,25,2009,2000,0
1998,140,4,2,1,28,20,2009,2073,0
1996,155,4,2,1,26,19,2009,3713,0
1996,155,4,2,1,26,19,2009,3520,0
1997,155,4,2,1,26,19,2009,3910,0
1997,155,4,2,1,26,19,2009,4182,0
1997,155,4,2,1,26,19,2009,4107,0
1998,155,4,2,1,25,20,2009,4299,0
1998,155,4,2,1,25,20,2009,4693,0
1998,155,4,2,1,25,20,2009,4107,0
1991,114,4,4,2,26,19,870,2000,0
1991,114,4,4,2,23,18,870,2000,1
1991,114,4,4,2,26,19,870,2000,0
1992,114,4,4,2,26,19,870,2000,0
1992,114,4,4,2,26,19,870,2000,0
1992,114,4,4,2,26,19,870,2000,0
1993,114,4,4,2,26,19,870,2000,0
1993,114,4,4,2,25,18,870,2000,0
2012,100,4,4,1,35,29,586,16020,0
2012,100,4,4,1,35,29,586,14530,0
2012,100,4,4,1,34,28,586,16860,1
2012,100,4,4,1,34,28,586,15370,1
2013,100,4,4,1,34,28,586,17050,1
2013,100,4,4,1,34,28,586,15560,1
2013,100,4,4,1,35,29,586,16210,0
2013,100,4,4,1,35,29,586,14720,0
2014,100,4,4,1,34,28,586,17050,1
2014,100,4,4,1,34,28,586,15560,1
2014,100,4,4,1,35,29,586,16210,0
2014,100,4,4,1,35,29,586,14720,0
2015,300,6,4,2,30,20,3916,47250,1
2015,240,4,4,2,33,22,3916,41850,1
2015,240,4,4,2,33,22,3916,41850,1
